quote,author,category
"I get it,' said the prisoner. 'Good Cop, Bad Cop, eh?'If you like.' said Vimes. 'But we're a bit short staffed here, so if I give you a cigarette would you mind kicking yourself in the teeth?","Terry Pratchett, Night Watch","humor, interrogation, police, violence"
"With God’s help in the grasp of addiction you’ll find the truth. When we understand this and its purity, then true healing can begin.",Ron Baratono,"addiction, god, healing, understanding"
There is a pleasure a bee takes in collecting nectar and piling it into a hive. It knows well that the chores involved in such a task will yield sweet results.,"Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations","quote, quotes"
"Love words, agonize over sentences. And pay",Susan Sontag,"writing, writing-advice, writing-craft, writing"
Some people are designed to be included in your story but not part of your destiny.,Ane Krstevska,"inspirational, motivational"
"You're such a cynic,"" Molly said.""I think cynics are playful and cute.","Jim Butcher, Changes","cynicism, harry-dresden, humor, molly-carpenter"
Die Wahrheit hat keinen Erfolg.,"Confucius, Gespräche",truth
Ursula craved solitude but she hated loneliness,"Kate Atkinson, Life After Life","alone, hate, life, loneliness, lonely"
So many bad things have happened to them that they can't trust the good things. They have to shove them away before someone can get it back.,"Wally Lamb, The Hour I First Believed","escapism, fear, mistrust"
Some legends say that Hera's breast milk sprayed across the sky and created the Milky Way. I don't know. That seems like a whole lot of solar systems from just one squirt,"Rick Riordan, Percy Jackson's Greek Heroes","humor, legends, mythology"
It is important to create a family and bring up a child: these things are good and even necessary,Sunday Adelaja,"child, family, good, marriage"
It is only upon life’s new journey & pathway that your greatest learning - will be experienced.,"Eleesha, The Soulful Pathway To Empowerment:  Soulfully Empowering You to Overcome Life's Challenges & to Achieve Your Goals","affirmations, channeling, empowering, empowerment, inspirational"
A man with a victim mentality feels like being a victim who is complaining and crying all the time,Sunday Adelaja,"calling, crying, feels, goal, life"
We must begin to speak with each other in a gentle manner.,"Lailah Gifty Akita, Think Great: Be Great!","communication, gentle, inspirational, peace, speak"
Communication is an art form that is crafted throughout our lives.,"Asa Don Brown, Interpersonal Skills in the Workplace, Finding Solutions that Work","art, art-form, communication, interpersonal-relationships, interpersonal-skills"
"All of the great leaders have had one characteristic in common: it was the willingness to confront unequivocally the major anxiety of their people in their time. This, and not much else, is the essence of leadership.",John Kenneth Galbraith,"time, great, anxiety "
"Oh, quit it! You're the possessor of a beautiful wife, a beautiful gas-stove, and you were going to forget all this race-hysteria.","Sinclair Lewis, Kingsblood Royal","ownership, race, society"
"If you put a money sign in front of your eyes, how will you see the world?",Debasish Mridha,"debasish-mridha, inspirational, money-sign, philosophy, quotes"
The was something very satisfying about a smile that had to be earned.,"Kasie West, By Your Side","friendship, love, smile"
We should not only attend church but must have a ministry in the church as well,Sunday Adelaja,"attend, church, ministry, money, prosperity"
The earth is man’s domain.,Sunday Adelaja,"domain, earth, man"
Love what you do and your heart will lead the rest of the way.,Jill Telford,"life, life-experience, love"
"The place where ""me & I"" does not exist - Leadership",Alin Sav,leadership
"My destination is no longer a place, rather a new way of seeing.",Marcel Proust,"growth, life, living, outlook"
"Flowers for Algernon again? she asks. Doesn't that book always make you cry?One day it won't, I say. I want to be sure to be reading it on that day.","Nicola Yoon, Everything, Everything","books, everything-everything, nicola-yoon, page-14"
"Even when you can't see, God is working it out. You should not be discouraged or give up hope. Keep the Faith! Your situation is not your destination. God will do what he promised, you just be ready","Amaka Imani Nkosazana, Release The Ink","encouragement, faith, god, happiness, honesty"
All spheres of life in society are mission fields. They are the “Promised Land” where the Lordwill lead us to.,Sunday Adelaja,"life, mission, society, sphere"
Baseball is 90 percent mental. The other half is physical.,Yogi Berra,positive
Courage comes from a heart that is CONVINCED it is loved.,Beth Moore,inspirational
Battles are lost in the same spirit in which they are won.,"Walt Whitman, Leaves of Grass",war
You need to be your own cheer squad not your own worst enemy.,"Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women","cheer-leader, cheer-squad, enemy, happiness, health"
"Through Jiu Jitsu I have developed many of the most meaningful relationships in my life, and if that were the only benefit of my practice, Jiu Jitsu would still be the best endeavor I have ever undertaken.","Chris Matakas, My Mastery: Continued Education Through Jiu Jitsu","bjj, community, family, fellowship, friendships"
We are born in the ocean of love and we love the ocean and her touch so much.,Debasish Mridha,"debasish-mridha, inspirational, love, philosophy, quotes"
The Lord prefers common-looking people. That is why he made so many of them.,Abraham Lincoln,"attractiveness, beauty, humor, life, people"
He who hears the rippling of rivers in these degenerate days will not utterly despair.,Henry David Thoreau,"depression, environmental, love, nature, science"
Never live life without a hope.,Lailah Gifty Akita,"hope, inspiration, life"
"When 'Midnight's Children' came out, people in the West tended to respond to the fantasy elements in the novel, to praise it in those terms. In India, people read it like a history book.",Salman Rushdie,"children, book, people "
"And now we step to the rhythm of miracles.--from The Light, That Never Dies","Aberjhani, Elemental: The Power of Illuminated Love","faith, hope, inspiration, miracles, philosophy"
I am not trying to teach you anything but trying to ignite the fire of curiosity for knowledge and wisdom.,Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
"There was a large sting near his upper lip. I touched it lightly. “Does it hurt?”My gaze moved from his lips up to his eyes. He was looking at me in a way that made me blush.“Yes,” he responded quietly.",Colleen Houck,"love, romance"
"My whole theory of writing I can sum up in one sentence. An author ought to write for the youth of his own generation, the critics of the next, and the schoolmasters of ever afterward.",F. Scott Fitzgerald, writing
"Even when poetry has a meaning, as it usually has, it may be inadvisable to draw it out. Perfect understanding will sometimes almost extinguish pleasure.",A.E. Housman,poetry
"Happiness, that grand mistress of the ceremonies in the dance of life, impels us through all its mazes and meanderings, but leads none of us by the same route.",Charles Caleb Colton,"life, dance, mistress "
The test of glory and wealth is the hardest to pass,Sunday Adelaja,"glory, hardest, money, pass, prosperity"
"This advice, although good, was totally inapplicable to my case.","Mary Wollstonecraft Shelley, Frankenstein","advice, frankenstein"
Don’t allow people to come in and out of your life when it only benefits them.,Dominic Riccitello,"acquaintances, friends, opinion, people, quote"
"The fault I find with our journalism is that it forces us to take an interest in some fresh triviality or other every day, whereas only three or four books in a lifetime give us anything that is of real importance.",Marcel Proust,"gossip, journalism, life, literature, society"
